city,outcome,label,value,n_value
London,Within 2%,42.195,3.8309935849024535,6896
Madrid,More than 2% faster,42.195,8.744795427905295,1447
Madrid,More than 2% slower,42.195,11.764804971946642,2978
Madrid,Within 2%,42.195,8.596010589176895,1329
New York,More than 2% faster,42.195,3.0820201352287913,21390
New York,More than 2% slower,42.195,5.3373253733028925,22741
New York,Within 2%,42.195,3.5016282920789843,10595
Oslo,More than 2% faster,42.195,-2.6734201758745746,475
Oslo,More than 2% slower,42.195,0.9363271969615394,510
Oslo,Within 2%,42.195,-1.0272448953386026,322
Paris,More than 2% faster,42.195,1.5732824936837364,440
